date,ndvi
24-02-03,0.458115629
01-03-03,0.436623424
06-03-03,0.415368117
11-03-03,0.394349709
16-03-03,0.3735682
21-03-03,0.349114792
26-03-03,0.326076606
31-03-03,0.305684337
05-04-03,0.288970542
10-04-03,0.276654643
15-04-03,0.26894067
20-04-03,0.265505566
25-04-03,0.265137499
30-04-03,0.265513702
05-05-03,0.265766195
10-05-03,0.267533455
15-05-03,0.27203457
20-05-03,0.280150421
25-05-03,0.292648842
30-05-03,0.310069747
04-06-03,0.332617944
09-06-03,0.360063597
14-06-03,0.391692494
19-06-03,0.426510565
24-06-03,0.463450249
29-06-03,0.501567534
04-07-03,0.540011075
09-07-03,0.577930754
14-07-03,0.614350858
19-07-03,0.648122071
24-07-03,0.678415296
29-07-03,0.704733513
03-08-03,0.726894061
08-08-03,0.744997404
13-08-03,0.759382365
18-08-03,0.770567842
23-08-03,0.779180997
28-08-03,0.785871922
02-09-03,0.791214781
07-09-03,0.795595431
12-09-03,0.799085514
17-09-03,0.801677269
22-09-03,0.803556179
27-09-03,0.80472075
02-10-03,0.805043526
07-10-03,0.80433286
12-10-03,0.802388071
17-10-03,0.799089134
22-10-03,0.794511713
27-10-03,0.788646206
01-11-03,0.781456139
06-11-03,0.772965868
11-11-03,0.763347836
16-11-03,0.753071358
21-11-03,0.742673895
26-11-03,0.732579978
01-12-03,0.723142785
06-12-03,0.714423817
11-12-03,0.706486803
16-12-03,0.699635669
21-12-03,0.694294069
26-12-03,0.689676758
31-12-03,0.68317309
05-01-04,0.671611149
10-01-04,0.655080366
15-01-04,0.637905206
20-01-04,0.622889523
25-01-04,0.611057658
30-01-04,0.598090331
04-02-04,0.583846794
09-02-04,0.570284203
14-02-04,0.55469396
19-02-04,0.535097301
24-02-04,0.509477629
29-02-04,0.477080539
05-03-04,0.43858023
10-03-04,0.391963863
15-03-04,0.347584333
20-03-04,0.314074601
25-03-04,0.29106256
30-03-04,0.274971332
04-04-04,0.267971659
09-04-04,0.271692051
14-04-04,0.282885824
19-04-04,0.30013526
13-02-05,0.531950626
18-02-05,0.511379993
23-02-05,0.490656154
28-02-05,0.469779108
05-03-05,0.448748855
10-03-05,0.431916249
15-03-05,0.417077741
20-03-05,0.395634737
25-03-05,0.364936462
30-03-05,0.3292324
04-04-05,0.297050679
09-04-05,0.274775764
14-04-05,0.264955263
19-04-05,0.26768022
24-04-05,0.277078489
29-04-05,0.290174767
04-05-05,0.304688919
09-05-05,0.31841615
14-05-05,0.328954961
19-05-05,0.328006388
24-05-05,0.319374628
29-05-05,0.310366044
03-06-05,0.306743791
08-06-05,0.310149545
13-06-05,0.320311671
18-06-05,0.336443393
23-06-05,0.35811002
28-06-05,0.385204571
03-07-05,0.415585868
08-07-05,0.446662052
13-07-05,0.479331291
18-07-05,0.514009185
23-07-05,0.550810626
28-07-05,0.589364367
02-08-05,0.629449971
07-08-05,0.67092034
12-08-05,0.706805187
17-08-05,0.734177428
22-08-05,0.751439968
27-08-05,0.758014952
01-09-05,0.755216111
06-09-05,0.74456403
11-09-05,0.731640123
16-09-05,0.72179929
21-09-05,0.716380687
26-09-05,0.714462322
01-10-05,0.714654628
06-10-05,0.721730583
11-10-05,0.730973969
16-10-05,0.73703278
21-10-05,0.740482345
26-10-05,0.742196534
31-10-05,0.742034392
05-11-05,0.739939546
10-11-05,0.738381054
15-11-05,0.736657949
20-11-05,0.731134154
25-11-05,0.719732935
30-11-05,0.704335744
05-12-05,0.69190322
10-12-05,0.680533015
15-12-05,0.666434941
20-12-05,0.653098006
25-12-05,0.640217849
30-12-05,0.626791612
04-01-06,0.61312013
09-01-06,0.599913639
14-01-06,0.587124897
19-01-06,0.571809442
24-01-06,0.554727913
29-01-06,0.538957614
03-02-06,0.517834627
08-02-06,0.48945722
13-02-06,0.455705363
18-02-06,0.420318706
23-02-06,0.388124174
28-02-06,0.364732305
05-03-06,0.350057262
10-03-06,0.340118949
15-03-06,0.335839049
20-03-06,0.335924471
25-03-06,0.340879757
30-03-06,0.347614585
04-04-06,0.346943907
09-04-06,0.342219817
14-04-06,0.335755733
19-04-06,0.328324218
24-04-06,0.328590155
29-04-06,0.338858513
04-05-06,0.351534668
16-02-07,0.419181935
21-02-07,0.410791569
26-02-07,0.400842898
03-03-07,0.38933592
08-03-07,0.379514542
13-03-07,0.358911319
18-03-07,0.331028572
23-03-07,0.309937145
28-03-07,0.297902718
02-04-07,0.291234653
07-04-07,0.286413008
12-04-07,0.283137696
17-04-07,0.279525036
22-04-07,0.279884417
27-04-07,0.286258998
02-05-07,0.298618004
07-05-07,0.311749612
12-05-07,0.322050436
17-05-07,0.329678868
22-05-07,0.336387598
27-05-07,0.34408618
01-06-07,0.349354481
06-06-07,0.352615118
11-06-07,0.35687246
16-06-07,0.36276621
21-06-07,0.37118674
26-06-07,0.382392704
01-07-07,0.395845312
06-07-07,0.411228421
11-07-07,0.42839568
16-07-07,0.447243269
21-07-07,0.467667367
26-07-07,0.489564157
31-07-07,0.512829819
05-08-07,0.537360533
10-08-07,0.56305248
15-08-07,0.589682336
20-08-07,0.61573638
25-08-07,0.648383115
30-08-07,0.686012154
04-09-07,0.717928297
09-09-07,0.742957945
14-09-07,0.760525389
19-09-07,0.77060802
24-09-07,0.773724437
29-09-07,0.771543681
04-10-07,0.7650894
09-10-07,0.754675964
14-10-07,0.741525033
19-10-07,0.728938806
24-10-07,0.724337614
29-10-07,0.722422619
03-11-07,0.716635401
08-11-07,0.710021912
13-11-07,0.701147592
18-11-07,0.689924974
23-11-07,0.677832983
28-11-07,0.666941608
03-12-07,0.657031119
08-12-07,0.646090553
13-12-07,0.632656576
18-12-07,0.616918672
23-12-07,0.600060345
28-12-07,0.583634179
02-01-08,0.567797529
07-01-08,0.551531347
12-01-08,0.535016665
17-01-08,0.520496761
22-01-08,0.507621229
27-01-08,0.494899561
01-02-08,0.48526093
06-02-08,0.476812129
11-02-08,0.46072763
16-02-08,0.438572283
21-02-08,0.413413298
26-02-08,0.387468617
02-03-08,0.361956795
07-03-08,0.338027109
12-03-08,0.316498344
17-03-08,0.299500002
