date,NDVI,sensor
2000-02-18,0.45639112962122286,MODIS
2000-03-05,0.4652391508596017,MODIS
2000-03-21,0.46398119929731796,MODIS
2000-04-06,0.4468042713617431,MODIS
2000-04-22,0.4677325661725519,MODIS
2000-05-08,0.49420513195033877,MODIS
2000-06-09,0.4647215778773464,MODIS
2000-06-25,0.5975938592587885,MODIS
2000-07-11,0.5848495173992853,MODIS
2000-07-27,0.5546923810275748,MODIS
2000-08-28,0.651286816440265,MODIS
2000-09-13,0.6476730592345497,MODIS
2000-09-29,0.6822178529296108,MODIS
2000-10-15,0.670617997355072,MODIS
2000-10-31,0.6615908947090876,MODIS
2000-11-16,0.6863623034706356,MODIS
2000-12-02,0.6977847750113525,MODIS
2000-12-18,0.6561774043872292,MODIS
2001-01-01,0.6173179879299233,MODIS
2001-01-17,0.5999582996425847,MODIS
2001-02-02,0.5335194994374595,MODIS
2001-02-18,0.41990887432643176,MODIS
2001-03-06,0.4052017764443481,MODIS
2001-03-22,0.38062830270611697,MODIS
2001-04-07,0.3901240254228928,MODIS
2001-04-23,0.5223681325622244,MODIS
2001-05-09,0.5262849791761252,MODIS
2001-05-25,0.5358552138641614,MODIS
2001-07-12,0.5395454986874055,MODIS
2001-07-28,0.6444468089049504,MODIS
2001-08-13,0.4812343012275734,MODIS
2001-08-29,0.5600461375597356,MODIS
2001-09-14,0.6385627510085673,MODIS
2001-09-30,0.6751030701754386,MODIS
2001-10-16,0.6971388883406038,MODIS
2001-11-01,0.7229980929013553,MODIS
2001-11-17,0.7476039979687902,MODIS
2001-12-03,0.6993055659762666,MODIS
2001-12-19,0.6703154180855088,MODIS
2002-01-01,0.6706687017831683,MODIS
2002-01-17,0.65068437530517,MODIS
2002-02-02,0.6194519294159438,MODIS
2002-02-18,0.5598529715966287,MODIS
2002-03-06,0.47175466316641357,MODIS
2002-03-22,0.45526845824368817,MODIS
2002-04-07,0.44586026093993625,MODIS
2002-04-23,0.3965481100605968,MODIS
2002-05-09,0.42403483804749015,MODIS
2002-05-25,0.5046112804216091,MODIS
2002-06-26,0.5556923691846122,MODIS
2002-07-04,0.5440441310139478,MODIS
2002-07-12,0.5261719321793027,MODIS
2002-07-28,0.5500729201254381,MODIS
2002-08-05,0.5442051490423522,MODIS
2002-08-13,0.5225325946130244,MODIS
2002-08-29,0.5452566511443576,MODIS
2002-09-06,0.5081401163303074,MODIS
2002-09-14,0.5422383514596445,MODIS
2002-09-22,0.5386020646230972,MODIS
2002-09-30,0.5068710947580646,MODIS
2002-10-16,0.5507101114702196,MODIS
2002-10-24,0.6089715062287656,MODIS
2002-11-01,0.6593319446885809,MODIS
2002-11-09,0.6378809277040107,MODIS
2002-11-17,0.6647558797679735,MODIS
2002-11-25,0.650741344895608,MODIS
2002-12-03,0.6387951266210051,MODIS
2002-12-11,0.614311455762434,MODIS
2002-12-19,0.593283148064051,MODIS
2002-12-27,0.5406033032558691,MODIS
2003-01-01,0.5494701577087817,MODIS
2003-01-09,0.4876738813695047,MODIS
2003-01-17,0.5046250932598968,MODIS
2003-01-25,0.45167455713755583,MODIS
2003-02-02,0.4353754179578786,MODIS
2003-02-10,0.43126766871286715,MODIS
2003-02-18,0.3948653060418846,MODIS
2003-02-26,0.37003769614906357,MODIS
2003-03-06,0.37766001223772755,MODIS
2003-03-14,0.3851918283559995,MODIS
2003-03-22,0.3824292975149519,MODIS
2003-03-30,0.3775503720663995,MODIS
2003-04-07,0.38557577522057507,MODIS
2003-04-15,0.3862014566843654,MODIS
2003-04-23,0.34750247123147066,MODIS
2003-05-01,0.3122116379219796,MODIS
2003-05-09,0.31997515938653454,MODIS
2003-05-17,0.3164404812190357,MODIS
2003-05-25,0.3073405976748318,MODIS
2003-06-02,0.3154178303388672,MODIS
2003-06-10,0.34973096311057766,MODIS
2003-06-26,0.33600003080850305,MODIS
2003-07-04,0.4529370177523065,MODIS
2003-07-12,0.47982603951753666,MODIS
2003-07-28,0.5573408199417944,MODIS
2003-08-05,0.5698164025028133,MODIS
2003-08-21,0.5766636156081364,MODIS
2003-08-29,0.6540495141907448,MODIS
2003-09-06,0.6897178631348319,MODIS
2003-09-14,0.6690731302923236,MODIS
2003-09-22,0.7275920130604041,MODIS
2003-09-30,0.7215962339379828,MODIS
2003-10-08,0.7185492213252271,MODIS
2003-10-16,0.7083328030317975,MODIS
2003-10-24,0.7423087116049901,MODIS
2003-11-01,0.7133833909493945,MODIS
2003-11-09,0.725219577742622,MODIS
